,UMAP1,UMAP2
897,-4.668165,1.1403478
898,-4.6056976,0.9801051
899,-4.33029,0.6056829
900,-4.847173,1.0825253
901,-4.7087393,1.193708
902,-5.512475,-0.010945266
903,-5.489359,0.8814889
904,-6.2094007,0.07857098
905,-4.8911285,1.2831857
906,-5.0769296,1.0601559
907,-4.9315195,0.06963672
908,-5.8436003,-0.3661775
909,-5.9852066,-0.37334883
910,-5.4241853,0.36940005
911,-5.491306,-0.12544513
912,-5.8136873,0.027194822
913,-5.981178,0.03232116
914,-6.5020375,0.3369413
915,-5.21805,-0.024178129
916,-5.1699247,-0.0012705645
917,-6.4107237,0.4928464
918,-5.961686,0.34227753
919,-5.496388,-0.26956153
920,-4.855343,-0.35479113
921,-4.945815,0.24573804
922,-5.173105,0.2567112
923,-4.525996,-0.22614641
924,-4.7149343,-0.04780079
925,-6.1611404,-0.2957554
926,-4.9802184,1.2999187
927,-5.3214593,1.3945154
928,-6.0743933,0.075305596
929,-6.3327613,-0.029952826
930,-5.7633724,0.8805347
931,-5.071091,1.2432469
932,-5.16448,0.67104733
933,-5.886875,0.35869157
934,-5.8141313,-0.44298986
935,6.290595,-6.005925
936,6.289691,-5.9945655
937,6.3539033,-6.0139685
938,6.3165283,-5.9974413
939,6.328069,-5.9911156
940,6.30384,-5.974071
941,6.260259,-5.945824
