,UMAP1,UMAP2
568,-6.0627675,-15.579487
569,-8.114942,-16.783396
570,-7.9605074,-14.899947
571,-8.368239,-15.438558
572,-6.675539,-15.383123
573,-6.3389387,-13.672004
574,-8.119106,-15.443117
575,-7.833885,-14.960816
576,-8.471967,-16.499771
577,-8.211672,-14.727114
578,-8.730015,-16.448553
579,-8.332336,-16.19501
580,-7.945289,-15.307756
581,-7.143662,-14.078608
582,-8.566894,-16.089222
583,-7.027575,-14.915215
584,-7.970061,-15.012256
585,-6.841055,-14.161681
586,-7.2249427,-13.946801
587,-6.3578115,-13.471598
588,-7.2534294,-14.109344
589,-7.8139954,-14.474728
590,-7.0835886,-14.045209
591,-7.5114822,-14.997769
592,-7.5991654,-15.127997
593,-7.16676,-15.044267
594,-7.5137997,-13.929067
595,-8.666552,-16.446714
596,-8.68645,-16.398302
597,-8.689596,-16.401653
598,-8.6564455,-16.46484
599,-8.7083,-16.37806
600,-9.011906,-15.796088
601,-8.662901,-16.167952
602,-8.812432,-16.022068
603,-8.733486,-16.108015
604,-7.7347474,-16.926975
605,-7.730997,-17.039162
606,-7.6686788,-17.068933
607,-7.6836815,-17.080423
608,-7.5895386,-17.030888
609,-7.690793,-17.022863
610,-6.95811,-17.006742
611,-6.713238,-16.880516
612,-6.651101,-16.865833
613,-6.5593557,-17.005123
614,-6.6617346,-16.798578
615,-7.140522,-17.044016
616,-6.969132,-17.132092
617,-6.243453,-16.510372
618,-6.6017547,-16.926508
619,-6.517066,-16.988483
620,-6.304685,-16.580652
621,-6.3847265,-16.903248
622,-5.2444606,-15.839664
623,-6.302797,-16.736624
624,-6.693676,-16.88627
625,-6.5861983,-17.000313
626,-6.386082,-16.908167
627,-7.0269084,-16.981787
628,-6.673544,-17.149067
629,-5.198802,-15.642302
630,-7.206514,-16.12458
631,-7.5609612,-13.487358
632,-6.772086,-16.888594
633,-6.352339,-16.548195
634,-5.964265,-16.563683
635,-6.109406,-16.551332
636,-5.3175135,-14.422861
637,-6.543247,-17.026896
638,-6.5816884,-16.58189
639,-5.521854,-14.689654
640,-5.8331594,-13.955138
641,-5.2716975,-14.774188
642,-6.1417737,-14.098085
643,-8.823189,-14.419118
644,-6.450586,-15.328549
645,-5.668236,-14.635673
646,-7.073274,-14.157478
647,-6.609701,-16.544054
648,-7.9725847,-15.210829
649,-6.346468,-15.723786
650,-7.682691,-15.248275
651,-6.0650477,-16.366846
652,-6.5358267,-16.145155
653,-6.1856523,-16.381058
654,-5.4371033,-14.243246
655,-5.7563777,-15.929192
656,-5.4836874,-14.6599045
657,-6.3697324,-14.329082
658,-6.5964217,-15.721091
659,-5.9208274,-15.476797
660,-5.9848332,-15.867846
661,-6.1411905,-14.477867
662,-5.428336,-13.928399
663,-5.7088513,-15.482681
664,-5.802028,-15.269592
665,-5.9115963,-14.625807
666,-6.2171626,-14.588496
667,-5.180048,-14.839943
668,-6.2877574,-14.344064
669,-6.0029964,-14.557281
670,-5.803052,-14.084138
671,-6.043631,-15.634518
672,-6.192235,-15.169761
673,-5.8631997,-14.433247
674,-6.370835,-15.579683
675,-5.866435,-15.203328
676,-6.206858,-15.538278
677,-6.7021685,-14.381794
678,-5.7373033,-15.530904
679,-6.479136,-13.837372
680,-8.546339,-15.452797
681,-8.864301,-15.955435
682,-8.9081745,-15.749166
683,-8.882301,-15.865938
684,-8.926859,-15.887509
685,-9.046094,-14.741024
686,-8.924818,-16.05137
687,-8.912689,-15.935804
688,-8.538349,-15.507243
689,-7.981429,-15.790417
690,-8.493146,-15.95074
691,-8.474094,-15.793307
692,-9.02124,-15.961728
693,-8.888084,-15.8971
694,-8.700583,-15.867832
695,-8.694251,-15.892862
696,-8.446984,-15.687272
697,-8.461728,-15.748734
698,-8.315878,-15.557369
699,-8.387687,-15.976011
700,-8.172743,-16.166712
701,-8.118276,-15.365287
702,-8.293347,-15.618238
703,-8.28373,-15.403844
704,-7.625663,-16.159801
705,-7.7281923,-16.242393
706,-7.7182636,-16.203186
707,-7.9163184,-15.266446
708,-8.847521,-16.925463
709,-7.3461666,-16.237919
710,-7.8060827,-15.607917
711,-7.6667786,-15.984327
712,-7.1221085,-15.815078
713,-8.000062,-15.575918
714,-7.502059,-16.128944
715,-8.179173,-17.39284
716,-7.0560184,-15.178542
717,-8.0609,-15.223559
718,-5.2208657,-14.55092
719,-7.3461747,-14.381879
720,-7.278719,-14.85962
721,-8.476131,-15.157119
722,-6.140896,-13.806153
723,-8.881241,-15.486155
724,-6.8603487,-15.157386
725,-8.222198,-15.650476
726,-8.405565,-15.447335
727,-8.180144,-14.414376
728,-8.426787,-14.291662
729,-6.860336,-15.126313
730,-8.341178,-15.052218
731,-8.78038,-16.797228
732,-7.2239914,-14.32094
733,-6.352797,-15.521083
734,-8.691749,-14.99591
735,-8.111088,-15.11777
736,-5.734461,-13.831602
737,-6.869953,-14.250878
738,-5.1586823,-14.490992
739,-4.999383,-15.45739
740,-6.8443427,-14.439851
741,-7.572613,-14.763053
742,-8.08786,-14.44191
743,-6.7171626,-13.6664295
744,-5.719357,-14.392481
745,-5.750324,-14.981374
746,-5.9913516,-14.510877
747,-5.2819543,-15.074438
748,-8.101205,-14.316918
749,-7.8901796,-14.37862
750,-7.0318475,-14.8343525
751,-6.4676,-15.0932255
752,-5.1989045,-15.059326
753,-7.430359,-15.207456
754,-7.745404,-14.3967085
755,-5.834974,-14.970187
756,-5.6167674,-15.281429
757,-5.7687964,-14.395774
758,-8.511513,-15.188798
759,-7.2855105,-14.3366785
760,-7.1875668,-14.6255665
761,-7.9314475,-14.508024
762,-7.80354,-14.834938
763,-7.695206,-13.827164
764,-7.030879,-14.891922
765,-9.318302,-15.864296
766,-9.426899,-15.834381
767,-9.344889,-15.788307
768,-9.469593,-15.823472
769,-9.501561,-15.679097
770,-9.425509,-15.845529
771,-9.474582,-15.842444
772,-9.518822,-15.872549
773,-9.499657,-15.800123
774,-9.54994,-15.771032
775,-9.472534,-15.776538
776,-9.566317,-15.662154
777,-9.571101,-15.6623335
778,-9.600613,-15.701656
779,-9.580056,-15.636831
780,-9.576388,-15.520124
781,-9.624842,-15.828802
782,-9.5286455,-15.466314
783,-9.191842,-15.443341
784,-9.564018,-15.502277
785,-9.319927,-15.922092
786,-9.48667,-15.681295
787,-8.32463,-16.1251
788,-8.704479,-15.955187
789,-9.053002,-15.850679
790,-9.416305,-15.500083
791,-9.003641,-15.446423
792,-9.236101,-15.556105
793,-9.259203,-15.771399
794,-9.48209,-15.753155
795,-9.057988,-15.672327
796,-9.073991,-15.328569
797,-8.411168,-15.113715
798,-8.130063,-14.738925
799,-9.069863,-15.554071
800,-9.273007,-15.917356
801,-5.515301,-15.377961
802,-8.78389,-14.441219
803,-7.268413,-14.982201
804,-8.999752,-15.092483
805,-9.233883,-14.993626
806,-8.981604,-15.23896
807,-7.787463,-14.264568
808,-5.729294,-15.021078
809,-4.9677153,-15.5477915
810,-7.9419856,-14.707528
811,-5.0493727,-15.304518
812,-5.202597,-14.298656
813,-7.0332665,-14.021969
814,-6.286849,-14.883943
815,-6.3603716,-14.728384
816,-6.000989,-15.495697
817,-6.864541,-14.977224
818,-6.850292,-13.762441
819,-7.507801,-14.855952
820,-4.947317,-15.448522
821,-8.531655,-14.350706
822,-8.499075,-14.266349
823,-8.60617,-15.24725
824,-6.061902,-14.263174
825,-8.127734,-15.096996
826,-7.7442946,-14.867986
827,-7.6343393,-14.703468
828,-6.7356215,-14.078179
829,-5.4137754,-15.626036
830,-7.2826276,-14.109414
831,-7.3471594,-15.063763
832,-6.567419,-14.075749
833,-6.189691,-14.177445
834,-5.1845345,-14.193462
835,-7.218384,-14.954153
836,-7.155495,-13.806191
837,-5.783328,-14.194812
838,-8.368342,-14.525878
839,-8.150244,-14.61652
840,-7.0722647,-15.487633
841,-6.9566994,-13.630175
842,-6.4344974,-14.643394
843,-6.4332604,-13.82348
844,-6.29716,-14.696942
845,-6.024274,-15.149276
846,-6.2661257,-14.672697
847,-5.0276165,-15.4767065
848,-6.6006293,-14.620866
849,-5.773678,-14.346739
850,-6.724771,-16.335154
851,-6.751041,-16.30101
852,-6.700869,-16.324697
853,-6.7044888,-16.357681
854,-6.8615294,-16.25703
855,-6.7588797,-16.266903
856,-6.6974316,-16.359528
857,-6.719853,-16.267271
858,-6.739345,-16.18347
859,-6.6542068,-16.153894
860,-6.686049,-16.188997
861,-6.8287683,-16.231031
862,-6.7451196,-16.212637
863,-6.768575,-16.232534
864,-6.6931305,-16.178816
865,-6.6958117,-16.142313
866,-6.67653,-16.11106
867,-6.654016,-16.169704
868,-6.781475,-16.05102
869,-6.8559422,-15.916944
870,-6.7847815,-16.000849
871,-6.568343,-16.068789
872,-6.669279,-16.059263
873,-7.0112734,-15.731194
874,-6.757081,-15.645928
875,-6.585469,-15.697175
876,-6.167772,-15.49051
877,-5.871359,-15.46587
878,-6.422372,-15.444418
879,-6.321655,-15.425964
880,-6.423157,-15.524617
881,-6.0923257,-15.366714
882,-6.1802745,-15.257854
883,-6.0835648,-15.23063
884,-6.4040866,-16.523785
885,-5.488707,-15.504091
886,-6.19025,-16.102839
887,-7.3289757,-13.603163
888,-7.157257,-14.595574
889,-7.7987585,-14.046675
890,-7.567261,-13.762498
891,-4.9586883,-15.582357
892,-4.97568,-15.5202465
893,-5.3959413,-15.624844
894,-6.2032313,-15.196985
895,-7.1871996,-15.000544
896,-6.8378973,-14.176941
897,-7.346716,-15.272141
898,-7.5857034,-16.542356
899,-7.042839,-14.162549
900,-6.2279906,-14.718693
901,-6.9952774,-15.054215
902,-6.143621,-13.764558
903,-6.864805,-13.650948
904,-6.1720576,-13.978159
905,-5.9659085,-14.091649
906,-6.429807,-13.766171
907,-5.660413,-14.041551
908,-6.476772,-15.662547
909,-6.7637215,-13.735325
910,-5.954955,-15.052746
911,-5.915976,-15.0570545
912,-5.94861,-15.108722
913,-6.279725,-14.535375
914,-6.1295824,-14.424501
915,-6.330753,-14.327163
916,-6.2901716,-14.234193
917,-7.079948,-14.519404
918,-7.5699344,-14.208684
919,-8.4446,-14.163946
920,-7.8793535,-13.980826
921,-7.8692007,-13.990362
922,-7.8237267,-13.947455
923,-8.152621,-15.148368
924,-8.01656,-14.080348
925,-7.422573,-14.081573
926,-8.486416,-16.185234
927,-6.308329,-14.2842
928,-7.375271,-14.472747
929,-6.6610823,-14.209709
930,-6.359872,-14.209727
931,-6.6201353,-14.29221
932,-6.750901,-14.654366
933,-5.349101,-14.666051
934,-8.310128,-17.31176
935,-7.5995812,-18.193766
936,-7.564514,-18.184746
937,-7.504289,-18.17186
938,-7.5956383,-18.26478
939,-7.6216826,-18.297459
940,-7.6110415,-18.266247
941,-7.6266894,-18.291649
942,-7.6206107,-18.285322
943,-7.612876,-18.285543
944,-7.636119,-18.281204
945,-7.6417584,-18.337076
946,-7.639172,-18.283049
947,-7.6305556,-18.293856
948,-7.6511817,-18.276175
949,-7.62305,-18.25218
950,-7.677763,-18.305191
951,-7.6628246,-18.26386
952,-7.6558137,-18.29053
953,-7.6533375,-18.302277
954,-7.4723682,-18.140955
955,-7.3865404,-18.057684
956,-7.3036337,-18.080185
957,-7.38823,-18.059105
958,-7.4638457,-18.099794
959,-7.323516,-18.025316
960,-7.329649,-18.021172
961,-7.3944025,-18.035685
962,-7.388169,-18.026974
963,-7.39042,-17.989548
964,-7.520845,-18.193375
965,-7.348897,-18.037357
966,-7.3596625,-18.032608
967,-7.3739667,-18.031992
968,-7.351461,-18.022036
969,-7.3256307,-17.949284
